is_hallucination,ppl,logprob_mean,logprob_min,len_gen
1,1.5394201278686523,-0.431640625,-4.6875,68
1,1.3297048807144165,-0.28515625,-4.96875,128
1,1.3223745822906494,-0.279296875,-5.0,89
1,1.5585761070251465,-0.443359375,-5.875,128
1,1.7776591777801514,-0.57421875,-6.9375,88
0,1.698218584060669,-0.53125,-4.5625,128
1,1.5838125944137573,-0.458984375,-4.125,128
0,1.3561838865280151,-0.3046875,-3.765625,90
0,2.0167977809906006,-0.703125,-3.828125,124
1,2.5848212242126465,-0.94921875,-8.4375,120
1,1.6101163625717163,-0.4765625,-4.46875,128
1,1.514037847518921,-0.4140625,-3.828125,128
1,1.8080464601516724,-0.59375,-8.1875,128
0,1.4651250839233398,-0.3828125,-4.125,121
1,1.722570538520813,-0.54296875,-5.09375,71
1,1.7395910024642944,-0.5546875,-14.4375,55
1,1.4451450109481812,-0.369140625,-5.3125,128
0,1.5422629117965698,-0.43359375,-4.46875,105
0,1.6238387823104858,-0.484375,-3.953125,92
1,1.8968753814697266,-0.640625,-9.375,128
1,1.3200308084487915,-0.27734375,-4.15625,128
0,1.8851007223129272,-0.6328125,-4.4375,42
1,1.4231104850769043,-0.353515625,-2.765625,128
1,2.109344005584717,-0.74609375,-8.1875,47
1,1.6504688262939453,-0.5,-6.6875,95
0,1.9606256484985352,-0.671875,-5.78125,73
1,1.6741313934326172,-0.515625,-5.6875,116
0,1.8146532773971558,-0.59765625,-4.125,128
0,1.4165061712265015,-0.34765625,-2.046875,21
0,2.669661521911621,-0.98046875,-6.90625,32
0,1.3784517049789429,-0.3203125,-4.03125,128
0,4.1953911781311035,-1.4296875,-5.84375,31
0,1.590053677558899,-0.462890625,-8.375,94
0,2.356611490249634,-0.859375,-4.03125,71
0,3.6287477016448975,-1.2890625,-7.84375,51
1,2.015094518661499,-0.69921875,-6.34375,128
1,1.723318099975586,-0.54296875,-8.9375,84
1,2.9288268089294434,-1.078125,-5.8125,128
1,1.8570315837860107,-0.62109375,-6.40625,128
1,1.2148964405059814,-0.1943359375,-4.0625,128
0,1.6395810842514038,-0.494140625,-3.65625,34
0,2.058129072189331,-0.72265625,-5.84375,77
0,1.9877915382385254,-0.6875,-5.09375,40
1,1.5302534103393555,-0.42578125,-5.65625,88
0,2.226177453994751,-0.80078125,-5.40625,53
0,3.350593328475952,-1.2109375,-7.84375,88
1,1.8205831050872803,-0.59765625,-5.28125,82
0,1.5909544229507446,-0.46484375,-6.1875,128
0,2.0673768520355225,-0.7265625,-4.28125,66
1,1.7619688510894775,-0.56640625,-4.375,72
1,3.9091076850891113,-1.359375,-7.375,79
1,1.5995867252349854,-0.470703125,-7.65625,73
1,1.883711576461792,-0.6328125,-6.0,128
1,1.2880324125289917,-0.251953125,-3.96875,128
1,1.5349304676055908,-0.427734375,-4.15625,128
0,2.8883726596832275,-1.0625,-5.59375,115
1,1.7639496326446533,-0.56640625,-7.4375,128
0,1.5825895071029663,-0.458984375,-3.078125,123
0,2.5207109451293945,-0.92578125,-6.5,63
1,2.57214093208313,-0.9453125,-7.0625,128
1,1.8443408012390137,-0.61328125,-7.0625,128
1,1.8825911283493042,-0.6328125,-4.875,128
1,1.329917073249817,-0.28515625,-3.546875,57
0,1.6612508296966553,-0.5078125,-5.65625,123
0,1.5082905292510986,-0.41015625,-4.96875,128
0,1.7425261735916138,-0.5546875,-6.0625,128
1,1.5345603227615356,-0.427734375,-8.4375,124
1,1.6466805934906006,-0.498046875,-5.28125,128
