is_hallucination,ppl,logprob_mean,logprob_min,len_gen
1,1.146164059638977,-0.13671875,-1.578125,82
1,1.5956910848617554,-0.466796875,-2.265625,102
1,1.350110411643982,-0.30078125,-2.5625,128
0,1.24392831325531,-0.2177734375,-2.046875,109
0,2.1307811737060547,-0.7578125,-2.75,33
1,1.2378088235855103,-0.2138671875,-1.9609375,124
0,1.2180975675582886,-0.197265625,-1.2890625,39
1,1.4949231147766113,-0.40234375,-3.40625,128
1,1.2673254013061523,-0.2373046875,-2.71875,79
0,1.1149392127990723,-0.10888671875,-2.3125,87
0,1.3847674131393433,-0.326171875,-3.015625,128
0,1.2004722356796265,-0.1826171875,-1.4375,47
0,1.6214019060134888,-0.482421875,-3.078125,128
1,1.122709035873413,-0.11572265625,-1.7578125,86
1,1.2099825143814087,-0.1904296875,-1.984375,83
1,1.264115333557129,-0.234375,-2.59375,128
1,1.256916880607605,-0.228515625,-1.953125,128
1,1.174511432647705,-0.1611328125,-1.9296875,128
1,1.337398648262024,-0.291015625,-2.640625,128
0,1.3131160736083984,-0.2734375,-6.40625,88
0,1.1386693716049194,-0.1298828125,-1.6640625,128
1,1.080436110496521,-0.07763671875,-1.03125,128
1,1.3560729026794434,-0.3046875,-2.453125,124
0,1.7015836238861084,-0.53125,-1.65625,36
1,1.3487441539764404,-0.298828125,-3.78125,128
0,1.1309478282928467,-0.123046875,-1.5,128
1,1.5885447263717651,-0.462890625,-2.6875,128
0,1.414868950843811,-0.34765625,-2.25,82
1,1.532301902770996,-0.42578125,-3.078125,88
1,1.2668901681900024,-0.236328125,-5.4375,128
0,1.3993172645568848,-0.3359375,-6.625,77
0,1.2550315856933594,-0.2275390625,-1.8515625,108
1,1.1705447435379028,-0.1572265625,-2.9375,91
0,1.210547924041748,-0.19140625,-1.5546875,128
1,1.1940639019012451,-0.177734375,-2.515625,93
1,1.2241994142532349,-0.2021484375,-3.0,128
0,1.8397372961044312,-0.609375,-2.75,30
1,1.3117682933807373,-0.271484375,-1.9375,85
1,1.2281134128570557,-0.205078125,-2.421875,128
1,1.232909917831421,-0.208984375,-3.515625,125
0,1.4200705289840698,-0.3515625,-3.6875,33
1,1.2965497970581055,-0.259765625,-1.78125,79
1,1.1515228748321533,-0.140625,-2.109375,103
1,1.2201604843139648,-0.19921875,-1.5,59
0,1.324104905128479,-0.28125,-2.25,29
1,1.3189327716827393,-0.27734375,-2.703125,81
0,1.3206506967544556,-0.27734375,-3.515625,83
1,1.2072066068649292,-0.1884765625,-1.890625,94
1,1.3632992506027222,-0.310546875,-2.6875,128
1,1.2755447626113892,-0.2431640625,-1.71875,70
1,1.265602469444275,-0.2353515625,-2.390625,89
1,1.2611337900161743,-0.232421875,-4.375,98
0,1.2530990839004517,-0.2255859375,-2.375,128
0,1.1641147136688232,-0.15234375,-1.953125,128
1,1.3640962839126587,-0.310546875,-2.484375,128
1,1.5133379697799683,-0.4140625,-2.5,91
0,1.289582371711731,-0.25390625,-2.09375,128
1,1.3078558444976807,-0.267578125,-2.375,128
1,1.4469376802444458,-0.369140625,-2.828125,86
1,1.400545597076416,-0.337890625,-2.328125,128
0,1.358262538909912,-0.306640625,-1.671875,57
1,1.2976220846176147,-0.259765625,-1.8125,95
1,1.1873189210891724,-0.171875,-1.828125,128
1,1.1174211502075195,-0.11083984375,-1.7265625,82
1,1.4895334243774414,-0.3984375,-2.171875,128
0,1.1717936992645264,-0.158203125,-2.515625,128
1,1.2469710111618042,-0.220703125,-2.765625,57
0,2.2110297679901123,-0.79296875,-3.359375,32
1,1.4642131328582764,-0.380859375,-2.4375,88
1,1.4183969497680664,-0.349609375,-2.484375,128
1,1.2237622737884521,-0.2021484375,-2.328125,71
0,1.1045933961868286,-0.099609375,-1.8203125,38
1,1.3057056665420532,-0.267578125,-3.796875,54
1,1.2022380828857422,-0.1845703125,-2.4375,104
1,1.1527010202407837,-0.142578125,-1.296875,83
0,1.5545260906219482,-0.44140625,-2.5,128
1,1.2080079317092896,-0.189453125,-1.8828125,78
1,1.3628489971160889,-0.310546875,-3.78125,128
0,1.3207533359527588,-0.27734375,-6.96875,81
0,1.3922888040542603,-0.330078125,-1.8828125,105
1,1.4930384159088135,-0.400390625,-2.234375,73
0,1.4460439682006836,-0.369140625,-2.09375,43
0,1.1591906547546387,-0.1474609375,-1.5,128
0,1.4375582933425903,-0.36328125,-2.21875,27
0,1.1527923345565796,-0.142578125,-1.9296875,128
1,1.2398310899734497,-0.21484375,-1.375,128
1,1.6810365915298462,-0.51953125,-2.8125,128
0,1.4674979448318481,-0.3828125,-2.65625,128
0,1.2583801746368408,-0.2294921875,-2.53125,67
0,1.1796191930770874,-0.1650390625,-1.640625,128
0,1.4004117250442505,-0.3359375,-2.65625,24
0,1.7793493270874023,-0.57421875,-2.34375,16
1,1.2145428657531738,-0.1943359375,-2.0625,121
1,1.2937239408493042,-0.2578125,-2.453125,51
0,1.3681169748306274,-0.314453125,-1.8515625,24
1,1.2620453834533691,-0.2333984375,-2.046875,67
0,1.1274558305740356,-0.1201171875,-2.25,128
1,1.170744776725769,-0.1572265625,-3.890625,128
0,1.2543456554412842,-0.2265625,-3.234375,121
1,1.2272542715072632,-0.205078125,-4.3125,128
0,1.290507197380066,-0.25390625,-1.984375,128
0,1.3069300651550293,-0.267578125,-2.140625,49
0,1.405503273010254,-0.33984375,-4.03125,42
0,1.1948732137680054,-0.177734375,-1.65625,128
1,1.5187774896621704,-0.41796875,-2.484375,70
1,1.2774145603179932,-0.2451171875,-2.21875,128
0,1.4162176847457886,-0.34765625,-2.546875,128
1,1.2969107627868652,-0.259765625,-2.546875,106
1,1.3006713390350342,-0.263671875,-2.65625,71
0,1.4907349348068237,-0.3984375,-3.65625,88
1,1.2953250408172607,-0.2578125,-1.9609375,90
1,1.2583577632904053,-0.2294921875,-2.09375,128
0,1.9288609027862549,-0.65625,-4.1875,31
1,1.431282877922058,-0.359375,-2.953125,50
0,1.222320556640625,-0.201171875,-1.71875,87
1,1.179400086402893,-0.1650390625,-2.375,97
0,2.13081955909729,-0.7578125,-2.03125,10
1,1.2051258087158203,-0.1865234375,-2.640625,109
1,1.345281720161438,-0.296875,-2.859375,128
