is_hallucination,ppl,logprob_mean,logprob_min,len_gen
0,1.5778217315673828,-0.455078125,-9.9375,48
0,3.1978042125701904,-1.1640625,-9.5,9
0,1.301382303237915,-0.263671875,-9.1875,128
0,1.3336261510849,-0.2890625,-10.75,129
0,1.6493480205535889,-0.5,-9.6875,78
0,1.621917486190796,-0.484375,-10.5,58
0,2.7435035705566406,-1.0078125,-9.5,17
0,2.515711784362793,-0.921875,-9.375,19
0,1.3506962060928345,-0.30078125,-10.75,71
0,2.3545312881469727,-0.859375,-8.75,12
0,1.5307639837265015,-0.42578125,-9.5,69
0,2.350294351577759,-0.8515625,-8.8125,12
0,1.3896522521972656,-0.330078125,-8.6875,52
1,1.5782458782196045,-0.45703125,-9.6875,34
0,1.5705430507659912,-0.451171875,-10.0625,42
0,1.2976021766662598,-0.259765625,-7.59375,128
1,1.2496306896209717,-0.22265625,-9.8125,128
0,2.0762507915496826,-0.73046875,-11.4375,28
0,1.9509830474853516,-0.66796875,-8.9375,21
1,1.2473903894424438,-0.220703125,-9.75,128
0,1.3111813068389893,-0.271484375,-8.5,128
0,1.3926455974578857,-0.33203125,-9.5,128
0,1.3497035503387451,-0.298828125,-8.4375,128
0,1.409558892250061,-0.34375,-8.3125,128
1,1.2976027727127075,-0.259765625,-10.0625,79
0,2.378822088241577,-0.8671875,-9.8125,19
0,1.3524243831634521,-0.302734375,-10.5,128
0,1.3213211297988892,-0.279296875,-8.625,128
0,2.096208333969116,-0.73828125,-8.75,20
1,1.258068561553955,-0.2294921875,-8.6875,128
0,3.303271532058716,-1.1953125,-9.6875,9
1,1.285491704940796,-0.251953125,-9.9375,128
0,1.5297353267669678,-0.42578125,-10.125,129
0,2.1184141635894775,-0.75,-9.6875,22
0,3.1374340057373047,-1.140625,-10.1875,33
0,2.6424944400787354,-0.97265625,-10.4375,45
1,1.2811063528060913,-0.248046875,-10.8125,128
1,1.7272312641143799,-0.546875,-9.6875,52
1,1.512630820274353,-0.4140625,-9.6875,60
0,2.2289528846740723,-0.80078125,-9.5625,20
0,1.3477256298065186,-0.298828125,-10.9375,129
0,2.20169734954834,-0.7890625,-8.625,20
0,1.3928993940353394,-0.33203125,-9.8125,128
0,1.303896188735962,-0.265625,-9.375,128
0,1.3362783193588257,-0.291015625,-9.125,128
0,1.8155101537704468,-0.59765625,-10.8125,34
1,4.61041259765625,-1.53125,-10.25,34
0,1.393067479133606,-0.33203125,-10.1875,128
0,1.7475510835647583,-0.55859375,-9.8125,39
0,1.5199017524719238,-0.41796875,-11.75,129
1,1.2790732383728027,-0.24609375,-11.375,128
0,1.4468631744384766,-0.369140625,-9.875,80
0,1.7551406621932983,-0.5625,-10.0625,53
0,1.341273307800293,-0.29296875,-9.5625,128
1,1.4541646242141724,-0.375,-8.6875,128
1,1.3594380617141724,-0.306640625,-9.9375,72
0,1.426673412322998,-0.35546875,-9.1875,128
0,2.8391165733337402,-1.046875,-11.25,18
0,1.6777549982070923,-0.51953125,-10.25,34
0,1.6223841905593872,-0.484375,-9.125,101
0,1.3794846534729004,-0.322265625,-9.4375,83
0,1.428378939628601,-0.357421875,-10.0,128
0,1.331093430519104,-0.28515625,-10.1875,99
0,1.3942787647247314,-0.33203125,-8.375,128
0,4.138172149658203,-1.421875,-10.25,33
0,1.3680552244186401,-0.314453125,-10.6875,127
0,1.4192196130752563,-0.349609375,-7.4375,128
0,1.332706332206726,-0.287109375,-10.0,128
0,1.2224836349487305,-0.201171875,-9.75,129
0,1.4768329858779907,-0.390625,-8.0,128
0,1.4589465856552124,-0.376953125,-9.125,128
0,1.7456923723220825,-0.5546875,-10.5625,46
0,1.4698539972305298,-0.384765625,-9.625,128
0,2.1373727321624756,-0.76171875,-8.9375,27
0,1.2456047534942627,-0.2197265625,-9.875,104
1,1.248356580734253,-0.2216796875,-10.25,128
0,1.2586860656738281,-0.2294921875,-9.125,128
0,2.6167213916778564,-0.96484375,-9.4375,12
0,2.6281681060791016,-0.96484375,-9.4375,12
0,1.4319473505020142,-0.359375,-10.6875,128
0,1.696420431137085,-0.52734375,-10.0,46
1,1.2321158647537231,-0.208984375,-9.125,128
0,1.5741209983825684,-0.453125,-8.375,128
0,1.7678195238113403,-0.5703125,-9.625,34
0,1.7206521034240723,-0.54296875,-10.5,59
1,1.1240558624267578,-0.11669921875,-9.8125,128
0,2.321833848953247,-0.84375,-8.75,12
0,1.365051507949829,-0.310546875,-8.0625,128
1,1.462171196937561,-0.380859375,-9.625,70
0,1.7318700551986694,-0.55078125,-8.75,29
0,1.5509365797042847,-0.4375,-9.5625,29
0,2.1471142768859863,-0.765625,-9.5,25
0,1.4224058389663696,-0.3515625,-8.1875,128
0,1.8706077337265015,-0.625,-10.0625,25
0,1.7554839849472046,-0.5625,-10.8125,58
0,1.5498535633087158,-0.4375,-9.375,48
1,1.2235392332077026,-0.2021484375,-11.125,128
0,2.014085531234741,-0.69921875,-9.8125,39
0,1.4622598886489868,-0.37890625,-9.9375,74
1,1.2759548425674438,-0.244140625,-10.25,128
0,1.8657970428466797,-0.625,-11.25,30
