layer,metric,mean_valid,std_valid,mean_hallucination,std_hallucination,cohens_d,p_value_raw,p_value_corrected,significant
19,HFER,0.08115860871933021,0.020378560438396896,0.10400630128023033,0.020293844903277746,1.1212454807156744,5.456274402669171e-60,8.730039044270674e-59,True
20,HFER,0.08644257652375731,0.02341157322840974,0.1122285840747831,0.02332911328888537,1.1014155360901372,1.4420592319018666e-57,1.5381965140286577e-56,True
21,HFER,0.08539648300431892,0.019822320290840332,0.10531618497814992,0.020131368366505895,1.0025124132350247,5.01910589268675e-50,1.3384282380498e-49,True
22,HFER,0.10270752867853097,0.028434798890536423,0.13336856437853642,0.027283057381919957,1.0831711332502758,3.810478229089789e-56,2.438706066617465e-55,True
23,HFER,0.0938814620026434,0.027158278337728894,0.12264017945029553,0.027267973363904827,1.0579296123717923,5.031869379519607e-55,2.300283144923249e-54,True
24,HFER,0.12254049669236243,0.03604715915307641,0.16031601590193886,0.03275240779091215,1.0590266954281322,6.835367045286325e-56,3.645529090819373e-55,True
25,HFER,0.12186555352551164,0.03542782837428943,0.1592614774018844,0.03353720879671767,1.0619629061255285,3.3406490001498765e-56,2.438706066617465e-55,True
26,HFER,0.16618582434538337,0.04786568092737755,0.2148033691258617,0.042916358852242834,1.0278615837676501,2.2954458359571248e-52,7.345426675062799e-52,True
27,HFER,0.19812729829790615,0.05586818672549694,0.25055942048063484,0.04587905696697458,0.9576598564537905,2.6741030970219756e-48,5.704753273646881e-48,True
28,HFER,0.22106104335474847,0.05502197976634482,0.27290334592298254,0.044345839946900306,0.9629968935687512,3.575673752875689e-49,8.172968578001574e-49,True
29,HFER,0.24599039296083378,0.056695020670888406,0.3009146576568325,0.042250680884600454,0.9962561292011858,3.3224156166075484e-53,1.3289662466430194e-52,True
30,HFER,0.3050581184827318,0.057745193493811416,0.3621702080201424,0.04582444993727304,1.0121608215998017,1.4248469318387657e-52,5.066122424315611e-52,True
31,HFER,0.3169245235396154,0.04654521952619705,0.36720325874688364,0.03279138066042766,1.1152029569822388,2.2207629824935483e-60,7.1064415439793545e-59,True
0,Fiedler,0.4548721019191919,0.03331576100035811,0.42527649754448393,0.021414900064305742,-0.9222091043576963,3.905296206229636e-49,1.2496947859934835e-47,True
1,Fiedler,0.7393375005808082,0.01327565838999586,0.7319596398932384,0.010836244475188946,-0.5673891381440003,4.724914428122303e-20,5.039908723330457e-19,True
2,Fiedler,0.8111389412929294,0.01501753566131958,0.8070585361565835,0.012190398404335336,-0.2775350473886914,0.0001689593346425398,0.0002457590322073306,True
3,Fiedler,0.7686747549848484,0.012952523470461136,0.7651259916370107,0.010810015667072187,-0.27917632797403147,9.967716265510882e-05,0.00015188900976016582,True
4,Fiedler,0.6719174303232323,0.02090801178566989,0.6637320515658364,0.013378180590355827,-0.4065250234627918,2.720993172973408e-08,5.8047854356766033e-08,True
5,Fiedler,0.6215357597727273,0.024907501288928803,0.6163499197864769,0.019329190289922988,-0.2134547275471953,0.009219544883707957,0.01229272651161061,True
6,Fiedler,0.5594968931414142,0.025401264151220102,0.5511749836298933,0.018303421308767488,-0.3377179847465153,6.226086696124932e-06,1.171969260447046e-05,True
7,Fiedler,0.4767174541363636,0.03169121806727912,0.4640348816014234,0.023301360799436822,-0.41194756397688453,2.297106146738575e-08,5.2505283354024574e-08,True
